,STN,WBAN,YEARMODA,TEMP,TEMP_count,DEWP,DEWP_count,SLP,SLP_count,STP,STP_count,VISIB,VISIB_count,WDSP,WDSP_count,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,MAX_flag,MIN_flag,PRCP_A,PRCP_B,PRCP_C,PRCP_D,PRCP_G,PRCP_H,PRCP_I
0,722900,23188,1998-11-01,61.5,24,55.2,24,1016.9,24,1016.2,18,7.0,24,3.5,24,8.0,,66.9,53.6,0.0,,100000,True,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,722900,23188,1998-11-02,61.2,24,53.8,24,1013.8,24,1012.9,23,8.3,24,4.6,24,12.0,,68.0,54.0,0.0,,0,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,722900,23188,1998-11-03,61.2,24,54.5,24,1014.1,24,1013.2,22,6.2,24,4.5,24,13.0,,68.0,54.0,0.0,,100000,True,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,722900,23188,1998-11-04,61.4,24,56.0,24,1014.9,24,1014.0,22,4.5,24,3.0,24,8.9,,68.0,53.6,0.0,,100000,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,722900,23188,1998-11-05,61.2,24,55.6,24,1014.0,24,1013.1,24,6.0,24,5.6,24,13.0,,69.1,54.0,0.0,,100000,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,722900,23188,1998-11-06,60.6,24,51.4,24,1014.1,24,1013.2,24,8.1,24,3.8,24,8.9,,64.9,55.9,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,722900,23188,1998-11-07,60.1,24,50.2,24,1018.8,24,1017.9,24,9.6,24,4.5,24,10.1,15.9,66.0,54.0,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,722900,23188,1998-11-08,60.5,24,53.4,24,1019.5,24,1018.6,24,7.2,24,5.7,24,13.0,16.9,66.9,54.0,0.32,,110000,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,722900,23188,1998-11-09,60.2,24,50.8,24,1016.2,24,1015.2,23,9.9,24,7.7,24,12.0,,63.0,57.9,0.0,,10000,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,722900,23188,1998-11-10,58.6,24,40.0,24,1020.1,24,1019.2,24,9.9,24,2.9,24,8.9,,68.0,51.1,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,722900,23188,1998-11-11,59.2,24,44.6,24,1018.2,24,1017.3,24,9.7,24,2.6,24,8.9,,68.0,50.0,0.0,,0,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,722900,23188,1998-11-12,56.7,24,46.0,24,1019.8,24,1018.9,24,9.9,24,3.7,24,11.1,,64.9,50.0,0.01,,0,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,722900,23188,1998-11-13,59.8,24,45.4,24,1022.1,24,1021.2,24,9.9,24,3.2,24,10.1,,70.0,50.0,0.0,,0,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,722900,23188,1998-11-14,61.7,24,44.1,24,1019.3,24,1018.4,23,9.9,24,2.9,24,8.9,,72.0,51.1,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,722900,23188,1998-11-15,58.5,24,50.2,24,1016.5,24,1015.5,20,7.8,24,3.6,24,11.1,,66.0,50.0,0.0,,100000,True,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,722900,23188,1998-11-16,55.9,24,52.1,24,1014.2,24,1013.3,24,4.9,24,3.5,24,8.0,,63.0,48.2,0.01,,100000,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,722900,23188,1998-11-17,60.4,24,51.8,24,1016.2,24,1015.3,24,9.2,24,5.4,24,11.1,,64.0,48.0,0.0,,0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,722900,23188,1998-11-18,59.6,24,52.2,24,1017.1,24,1016.2,24,8.2,24,3.9,24,8.9,,64.0,55.0,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,722900,23188,1998-11-19,58.5,24,50.6,24,1017.5,24,1016.5,23,6.4,24,3.7,24,11.1,,70.0,51.1,0.0,,100000,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,722900,23188,1998-11-20,60.6,24,38.7,24,1019.2,24,1018.4,24,9.7,24,3.2,24,11.1,,71.1,51.1,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,722900,23188,1998-11-21,59.8,24,38.5,24,1019.2,24,1018.3,24,9.9,24,2.9,24,11.1,,72.0,50.0,0.0,,0,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,722900,23188,1998-11-22,58.7,24,44.7,24,1017.3,24,1016.4,24,8.9,24,2.9,24,12.0,,72.0,48.9,0.0,,0,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,722900,23188,1998-11-23,58.5,24,52.7,24,1018.2,24,1017.3,24,5.1,24,4.2,24,8.9,,72.0,48.9,0.0,,100000,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,722900,23188,1998-11-24,60.1,24,53.8,24,1021.6,24,1020.6,23,6.0,24,5.0,24,11.1,,64.9,51.1,0.0,,100000,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,722900,23188,1998-11-25,58.2,24,51.9,24,1020.4,24,1019.6,24,7.8,24,3.6,24,11.1,,66.9,51.1,0.0,,100000,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,722900,23188,1998-11-26,59.9,24,54.0,24,1016.6,24,1015.7,24,5.5,24,3.5,24,10.1,,70.0,53.1,0.0,,100000,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,722900,23188,1998-11-27,58.0,24,55.8,24,1014.7,24,1013.8,24,3.6,24,3.8,24,8.0,,70.0,52.0,0.01,,100000,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,722900,23188,1998-11-28,60.7,24,54.2,24,1011.3,24,1010.4,23,8.9,24,12.5,24,21.0,29.9,62.1,55.0,0.0,,110000,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,722900,23188,1998-11-29,57.9,24,48.2,24,1017.1,24,1016.3,23,9.6,24,10.1,24,19.0,,62.1,55.9,0.36,,110000,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,722900,23188,1998-11-30,56.8,24,48.2,24,1019.6,24,1018.6,24,9.9,24,3.4,24,8.0,,63.0,50.0,0.0,,0,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,722900,23188,1998-12-01,57.3,24,51.9,24,1018.9,24,1018.0,24,7.5,24,3.3,24,11.1,,64.0,50.0,0.0,,110000,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,722900,23188,1998-12-02,57.0,24,52.3,24,1019.9,24,1019.0,24,8.7,24,4.0,24,10.1,,62.1,52.0,0.08,,110000,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,722900,23188,1998-12-03,56.6,24,50.7,24,1019.5,24,1018.6,23,7.0,24,2.9,24,8.9,,61.0,50.0,0.01,,100000,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,722900,23188,1998-12-04,57.4,24,46.6,24,1017.8,24,1016.9,24,9.9,24,6.2,24,12.0,,62.1,50.0,0.01,,0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,722900,23188,1998-12-05,53.4,24,43.8,24,1018.8,24,1017.8,24,9.9,24,6.3,24,11.1,21.0,57.9,48.0,0.18,,10010,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,722900,23188,1998-12-06,54.8,24,40.0,24,1020.4,24,1019.6,24,9.7,24,10.1,24,19.0,29.9,57.9,48.0,0.28,,110000,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,722900,23188,1998-12-07,50.1,24,31.5,24,1025.2,24,1024.4,23,9.9,24,4.8,24,15.9,21.0,57.9,41.0,0.0,,0,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,722900,23188,1998-12-08,51.4,24,31.3,24,1025.7,24,1024.8,24,9.9,24,3.7,24,10.1,,59.0,41.0,0.0,,0,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,722900,23188,1998-12-09,52.8,24,35.2,24,1021.1,24,1020.3,23,9.8,24,2.3,24,8.0,15.9,69.1,43.0,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,722900,23188,1998-12-10,55.6,24,18.5,24,1026.2,24,1025.3,24,9.9,24,5.6,24,15.0,,69.1,42.1,0.0,,0,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,722900,23188,1998-12-11,53.7,24,36.6,24,1027.3,23,1026.4,23,9.9,24,2.6,24,14.0,,66.9,44.1,0.0,,0,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,722900,23188,1998-12-12,55.3,24,37.0,24,1023.5,24,1022.5,23,9.9,24,2.5,24,10.1,,71.1,44.1,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,722900,23188,1998-12-13,59.6,24,40.1,24,1020.6,24,1019.7,24,9.6,24,2.8,24,13.0,,78.1,46.9,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,722900,23188,1998-12-14,57.3,24,48.7,24,1020.1,24,1019.2,24,7.4,21,3.4,24,10.1,,79.0,46.9,0.0,,100000,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,722900,23188,1998-12-15,55.4,24,47.7,24,1017.6,24,1016.7,24,9.7,24,4.6,24,22.9,27.0,73.9,46.9,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,722900,23188,1998-12-16,63.1,24,46.7,24,1017.7,24,1016.8,24,9.9,24,4.5,24,15.9,21.0,79.0,51.1,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,722900,23188,1998-12-17,59.0,24,53.9,24,1018.4,24,1017.5,24,8.8,24,3.4,24,8.9,,66.9,52.0,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,722900,23188,1998-12-18,58.9,24,55.2,24,1017.2,24,1016.3,24,8.7,24,8.0,24,12.0,,69.1,50.0,0.0,,100000,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,722900,23188,1998-12-19,57.3,24,52.5,24,1016.8,24,1015.9,24,9.7,24,6.6,24,13.0,,60.1,57.0,0.0,,10000,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,722900,23188,1998-12-20,55.1,24,46.6,24,1019.3,24,1018.4,24,9.5,24,8.2,24,15.9,,57.2,53.1,0.02,,110000,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,722900,23188,1998-12-21,51.2,24,37.0,24,1023.5,24,1022.7,24,9.9,24,7.6,24,12.0,19.0,55.0,46.0,0.0,,10000,True,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,722900,23188,1998-12-22,50.5,24,27.3,24,1021.5,24,1020.6,24,9.9,24,3.6,24,10.1,,57.0,43.0,0.0,,0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
