STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
722900 23188  19801101    70.5 24    39.5 24  1018.9 24  1017.9  8   18.2 24    3.0 24   14.0  999.9    88.0    57.9   0.00D 999.9  000000 
722900 23188  19801102    68.0 23    40.7 23  1019.2 23  1018.1  8   16.7 22    3.5 23   11.8  999.9    84.9    55.9   0.00D 999.9  000000 
722900 23188  19801103    67.1 24    47.1 24  1019.3 24  1018.2  8    9.5 24    4.2 24    9.9  999.9    79.9    55.9   0.00D 999.9  000000 
722900 23188  19801104    64.2 24    56.0 24  1018.8 24  1017.8  8    5.1 24    5.1 24    8.9  999.9    77.0    54.9   0.00D 999.9  100000 
722900 23188  19801105    64.4 24    58.9 24  1018.0 24  1016.6  8    2.7 24    4.7 24    8.9  999.9    72.0    59.9   0.00D 999.9  100000 
722900 23188  19801106    64.0 24    56.7 24  1016.7 24  1015.6  8    4.3 24    3.2 24    8.0  999.9    68.9    61.9   0.00D 999.9  000000 
722900 23188  19801107    62.6 24    56.4 24  1017.5 24  1016.4  8    3.6 24    4.9 24    9.9  999.9    68.9    56.8   0.00D 999.9  100000 
722900 23188  19801108    63.4 24    57.1 24  1016.5 24  1015.6  8    2.5 24    5.2 23    8.0  999.9    68.0    61.0   0.00D 999.9  100000 
722900 23188  19801109    61.3 24    57.1 24  1013.1 24  1012.2  8    1.9 24    4.2 24    8.0  999.9    68.0    57.9   0.00D 999.9  100000 
722900 23188  19801110    62.3 24    56.3 24  1012.0 24  1010.9  8    3.6 24    3.5 24    8.0  999.9    66.0*   59.0   0.00C 999.9  000000 
722900 23188  19801111    65.5 24    55.8 23  1013.2 24  1012.1  8    6.9 24    5.2 23    8.9  999.9    70.0*   63.0*  0.00D 999.9  000000 
722900 23188  19801112    65.7 24    58.3 24  1015.4 24  1014.3  8    9.8 24    4.2 24    9.9  999.9    70.0    63.0   0.00D 999.9  000000 
722900 23188  19801113    62.0 24    52.2 24  1018.0 24  1016.8  8   10.4 24    4.7 23   11.8  999.9    68.9    54.9   0.00D 999.9  000000 
722900 23188  19801114    62.9 23    54.3 23  1018.9 23  1017.9  8    7.4 23    4.1 23   14.0  999.9    70.0*   55.9*  0.00C 999.9  000000 
722900 23188  19801115    61.1 24    49.6 24  1013.8 24  1013.1  8    7.5 24    4.5 24   14.0  999.9    70.0    52.0   0.00D 999.9  000000 
722900 23188  19801116    59.5 23    33.4 23  1015.5 23  1014.3  8   13.9 23    5.1 23   14.0  999.9    71.1*   45.9   0.00D 999.9  000000 
722900 23188  19801117    61.4 24    22.3 24  1020.4 24  1019.3  8   15.7 24    6.1 24   15.0  999.9    73.0*   46.9   0.00D 999.9  000000 
722900 23188  19801118    60.7 24    31.3 24  1021.8 24  1020.8  8   15.7 24    4.8 24   15.0  999.9    73.9    47.8   0.00D 999.9  000000 
722900 23188  19801119    59.1 24    29.2 24  1021.3 24  1020.3  8   15.1 24    4.0 24   12.0  999.9    73.0*   43.9   0.00D 999.9  000000 
722900 23188  19801120    59.7 22    38.3 22  1019.4 22  1018.3  8   13.4 22    5.0 22   16.9  999.9    74.8    46.9   0.00D 999.9  000000 
722900 23188  19801121    61.0 24    37.2 23  1019.6 24  1018.5  8   14.8 24    3.4 24   11.1  999.9    75.0*   46.9   0.00D 999.9  000000 
722900 23188  19801122    62.6 22    43.2 22  1018.9 22  1018.0  8   14.1 22    3.1 22    8.0  999.9    75.9    54.0   0.00D 999.9  000000 
722900 23188  19801123    58.8 24    50.7 24  1019.2 24  1018.2  8   11.9 24    2.8 24    9.9  999.9    66.9    50.0   0.00D 999.9  000000 
722900 23188  19801124    62.3 24    52.4 24  1019.2 24  1018.1  8    9.4 24    4.9 24   14.0  999.9    68.0*   56.8   0.00D 999.9  000000 
722900 23188  19801125    61.7 23    41.4 23  1022.3 22  1021.3  8   13.4 23    5.6 23   13.0  999.9    73.0*   50.9   0.00D 999.9  000000 
722900 23188  19801126    60.8 24    39.2 24  1023.3 24  1022.2  8   11.3 24    4.2 24   10.9  999.9    73.9    46.9   0.00D 999.9  000000 
722900 23188  19801127    61.4 24    32.4 24  1022.6 23  1021.5  8   12.3 24    3.1 23    8.9  999.9    75.0*   46.9   0.00D 999.9  000000 
722900 23188  19801128    63.4 24    30.1 24  1018.6 24  1017.8  8   12.8 24    3.3 24   11.1  999.9    82.0*   48.9   0.00D 999.9  000000 
722900 23188  19801129    65.2 24    38.5 23  1015.7 24  1014.8  8    7.5 24    2.7 23    7.0  999.9    81.9    50.9   0.00D 999.9  000000 
722900 23188  19801130    60.6 22    54.7 22  1014.7 22  1013.7  8    4.4 22    4.8 22    8.0  999.9    75.9    54.0   0.00D 999.9  100000 
722900 23188  19801201    61.1 24    51.2 24  1016.2 24  1015.2  8   10.5 24    6.4 24    9.9  999.9    64.9    57.9   0.00D 999.9  000000 
722900 23188  19801202    58.6 24    49.7 24  1017.4 23  1016.4  8   10.4 24    2.5 24    9.9  999.9    66.0*   50.0   0.00D 999.9  000000 
722900 23188  19801203    59.4 23    52.6 23  1016.7 23  1015.8  8    5.1 23    3.8 23    8.0  999.9    66.9    56.8   0.00D 999.9  100000 
722900 23188  19801204    61.4 23    50.2 23  1016.6 23  1015.6  8   11.1 23    8.7 23   14.0  999.9    64.0*   60.1*  0.00D 999.9  110000 
722900 23188  19801205    61.5 24    55.3 24  1013.7 24  1012.8  8   14.6 24    7.9 24   12.8  999.9    63.9    59.9   0.33D 999.9  110000 
722900 23188  19801206    58.4 23    44.7 23  1013.4 23  1012.5  8   15.4 23    6.5 23    8.9  999.9    64.9    54.9   0.00D 999.9  000000 
722900 23188  19801207    57.6 24    46.1 24  1013.3 24  1012.3  8   14.8 24    6.9 24   14.0  999.9    63.0    54.0*  0.00D 999.9  000000 
722900 23188  19801208    57.8 22    39.3 22  1017.1 22  1015.8  8   15.4 22    6.6 22   14.0  999.9    66.0*   50.9   0.00D 999.9  010010 
722900 23188  19801209    57.3 24    35.9 24  1022.8 24  1021.7  8   15.8 24    5.2 24   13.0  999.9    66.9    46.9   0.00D 999.9  000000 
722900 23188  19801210    58.4 12    40.1 12  1023.6 12  1022.6  8   19.0 12    4.9 11   11.1  999.9    71.1*   48.0*  0.00A 999.9  000000 
722900 23188  19801211    58.5 24    38.6 24  1020.4 23  1019.5  8   17.3 24    3.0 24    8.9  999.9    73.9*   45.9   0.00D 999.9  000000 
722900 23188  19801212    60.5 23    30.9 23  1017.1 23  1016.1  8   15.8 23    2.8 23    7.0  999.9    74.8    46.9*  0.00D 999.9  000000 
722900 23188  19801213    59.7 24    40.2 24  1020.0 24  1018.8  8   12.8 24    4.6 24    8.0  999.9    72.0    48.9   0.00D 999.9  000000 
